"filename", "language", "TypeScript JSX", "TypeScript", "Markdown", "PostCSS", "JSON", "JavaScript", "JSON with Comments", "XML", "Ignore", "comment", "blank", "total"
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/.claude/settings.local.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/.prettierrc.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/AGENTS.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 2, 6
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/CLAUDE.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/docs/adr/0001-athena-codename.md", "Markdown", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 51, 116
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/docs/adr/0002-initial-technology-stack.md", "Markdown", 0, 0, 472, 0, 0, 0, 0, 0, 0, 0, 171, 643
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/docs/adr/README.md", "Markdown", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 50, 139
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/docs/architecture/README.md", "Markdown", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 52, 137
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/docs/architecture/api-architecture.md", "Markdown", 0, 0, 2848, 0, 0, 0, 0, 0, 0, 0, 909, 3757
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/docs/architecture/application-architecture.md", "Markdown", 0, 0, 617, 0, 0, 0, 0, 0, 0, 0, 208, 825
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/docs/architecture/backend-architecture.md", "Markdown", 0, 0, 992, 0, 0, 0, 0, 0, 0, 0, 315, 1307
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/docs/architecture/data-flow.md", "Markdown", 0, 0, 1502, 0, 0, 0, 0, 0, 0, 0, 417, 1919
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/docs/architecture/database-architecture.md", "Markdown", 0, 0, 1511, 0, 0, 0, 0, 0, 0, 0, 534, 2045
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/docs/architecture/deployment-architecture.md", "Markdown", 0, 0, 1387, 0, 0, 0, 0, 0, 0, 0, 487, 1874
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/docs/architecture/domain-model.md", "Markdown", 0, 0, 1269, 0, 0, 0, 0, 0, 0, 0, 448, 1717
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/docs/architecture/engineering-principles.md", "Markdown", 0, 0, 317, 0, 0, 0, 0, 0, 0, 0, 148, 465
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/docs/architecture/error-handling-strategy.md", "Markdown", 0, 0, 1570, 0, 0, 0, 0, 0, 0, 0, 525, 2095
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/docs/architecture/frontend-architecture.md", "Markdown", 0, 0, 829, 0, 0, 0, 0, 0, 0, 0, 260, 1089
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/docs/architecture/observability-architecture.md", "Markdown", 0, 0, 2104, 0, 0, 0, 0, 0, 0, 0, 718, 2822
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/docs/architecture/security-architecture.md", "Markdown", 0, 0, 1343, 0, 0, 0, 0, 0, 0, 0, 439, 1782
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/docs/architecture/system-architecture.md", "Markdown", 0, 0, 579, 0, 0, 0, 0, 0, 0, 0, 183, 762
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/docs/architecture/testing-architecture.md", "Markdown", 0, 0, 667, 0, 0, 0, 0, 0, 0, 0, 313, 980
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/docs/implementation/implementation-roadmap.md", "Markdown", 0, 0, 332, 0, 0, 0, 0, 0, 0, 0, 140, 472
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/docs/product-requirements.md", "Markdown", 0, 0, 375, 0, 0, 0, 0, 0, 0, 0, 267, 642
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/docs/standards/coding-standards.md", "Markdown", 0, 0, 395, 0, 0, 0, 0, 0, 0, 0, 192, 587
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/docs/standards/repository-standards.md", "Markdown", 0, 0, 565, 0, 0, 0, 0, 0, 0, 0, 280, 845
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 3, 19
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/next.config.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 3, 8
